id,news_url,title,tweet_ids,labels,images
gossipcop-2547891536,www.dailymail.co.uk/femail/article-3499192/Do-blondes-REALLY-fun-Cindy-Crawford-s-model-daughter-Kaia-Gerber-puts-theory-test-peroxide-wig-dining-Harry-Styles.html,Cindy Crawford's daughter Kaia Gerber wears a wig after dining with Harry Styles,988821905196158981	988824206556172288	988825130838077440	988827402749919232	988835411609845761	988851564243800066	988854637531992064	988859447832334336	988890321873395712	988968654346825728	989008902703534080	989101743375114241	989103880364613632	990221524102713345,1,"['634_634_3257238600000578-3499192-image-a-30_1458324341600.jpg', '633_293_324892B500000578-3496993-Good_company_Clearly_enjoying_this_time_catching_up_with_Cindy_a-m-71_1458224802429.jpg', '634_793_3257237F00000578-3499192-image-a-31_1458324346373.jpg']"
gossipcop-6747642549,www.yourtango.com/2018314619/7-details-about-taylor-swift-joe-alwyns-relationship-marriage-rumors,"7 Questionable Details About Taylor Swift And Joe Alwyn's Relationship, Including Her ""Military-Like Mission"" To Keep It Under Wraps",1022013669419433984	1022016135213080577	1022113310496440322	1022163766505615365	1022247914611986432	1022539543038382080,1,['1200_599_joe-alwyn-taylor-swift-relationship.jpg']
gossipcop-8996311550,www.express.co.uk/celebrity-news/458512/Nicole-Kidman-and-Prince-Harry-named-sexiest-redheads-by-British-Heart-Foundation-survey,Nicole Kidman and Prince Harry named sexiest redheads,431780475070205952	431781189599244288	431781189515366400	431782566803173376	431785073558319104	431808652026998785	432189671087828992	465653514840993792	524812724828524544	553274478202195969	554650889957691392	554680630941061120	601115382183759872	697300461595070464	727546448699600897	896173222101757952	896174482326511616	948167484267421697	1009496939015131156	1009500753122258944	1011841592360079360,1,"['590_350_1779559_1.jpg', '590_875_125331.jpg', '590_438_125329.jpg']"
gossipcop-392859545,www.thewrap.com/johnny-depp-settles-lawsuit-against-his-former-business-managers/,Johnny Depp Settles Lawsuit Against His Former Business Managers,820079600063627264	820080831171534848	820081345984692230	820147206191648768	820149290727342081	820175287853846528	820253447005966336	820288370756685824	820296408293056512	820323629753696258	820323988530348032	820332952022155264	820333446446755840	820641526162358277	820744296148140033	821141293644546048	821302490276696064	826563525787021313	826573467394912262	826582071351115776	826582920483786752	826584099586465792	826584494379565056	826608037104283650	826645486463442944	826648772574924800	826648772134453250	826676481912877061	826695152190132224	826769731516452864	826776508643422209	826779367057534976	826781490415415296	826807298144223233	826807612628951041	826807691037306881	826807695009312768	826807782137552898	826807844783681536	826808251299700738	826808501401890816	826808507433312256	826808614128017409	826808689063391233	826819520383827969	826822638660116480	826844905905471489	826862464251871239	826865805145100289	826875270309244929	826881376955809792	826882025265184769	826883306536988672	826887907340386307	826894504129073159	826971565937946624	826977130403790853	827022194987384832	827701954851766272	828960305640202240	836446808670883840	936290732024967168	1019114737504739328	1019120470296334336,1,"['618_412_GettyImages-699963736.jpg', '300_208_WRAPPRO_500x500px_1-e1680203917297-300x208.png', '1200_1440_2023-EMMYS-LS_Cover_FINAL2-1200px.jpg']"
gossipcop-7894516039,www.popsugar.com/celebrity/Pictures-Selena-Gomez-Over-Years-35296270,Pictures of Selena Gomez Over the Years,139737218037194752	200491375215644673	227086327789780992	313043584335093761	343393588266270720	352690851438292992	352860735757500419	359378792332021760	364178340980092928	366763514494332930	381725072148279296	381726003611336704	407957872803184640	430630772328787969	437012620907151360	445402958939701248	446173158065045504	491419764263485440	501519455088697344	540649148874100736	540847846082105344	551959007741898752	554689934288617472	554758836318654464	582186298166874112	582244191289286656	582289596156768256	582290637371908097	582337405010587648	595301529638273024	610900401383051265	612651239252176896	623797105845342208	623892575301337088	623930227534770176	623990967041949697	623991676181291008	647623742424662016	653623948840673281	663029437856743425	667856977804988417	675373294682562560	684450559202480128	687252921122209792	688034051630972928	695931230747897856	729297642904244224	735583358390927361	735588792053075969	756326033339609088	756331658148741120	756343754110500864	756366872551882752	756396816258703360	756444479905787904	756446822156099584	756542483060981760	756570484821532673	756592183772196864	756594844361953283	756769949419466756	756957126681952256	756957585459195905	759548293059719171	759669749341007872	769870418878488576	770019413714149380	770024147699236864	770051298964168704	786299905564442624	789905139624796164	791924039669288960	791951541016014848	799692420539518977	800235353298739200	801908263709196292	803047873013280768	817808027285753856	817839516497100800	824263855039614976	825552111773614084	850409463693455360	859441165862567937	860225616892895232	882678012214489088	884552857801904129	888519079996383232	888534670375350272	888812888709898240	888815029650411523	888816205850705920	888816503096832002	888817976970928128	888818973336231936	888820690362793984	888820903395471360	888820977739616256	888821577705558017	888822244066983936	888822333334585344	888822751607259136	888824581737394177	888825352642076673	888844015352852480	888846903646932996	888942846258159616	888987078679068672	889119582413139970	918584205281460224	921339369570611202	924319986415558657	925782068910534656	932576002689196033	938191326385975296	953061768431009792	972898991427018753	976470198957076481	984170351843307522	993790364673814533	1002273467373424641	1009762122002321410	1012486220130213889	1020855050065756160	1020867679979155456	1020894351327625217	1020953016894013441	1020963036733902849	1020970033155985409	1020981044818800640	1021067437486243841	1021081730243891200	1021429861838217216	1026650106957709312	1027467479482880002	1027472322750504960	1027507298762076162	1029750344794951681	1029841489923399684	1029847865646964736	1030020347561738241	1030033365569863680	1030049575053209601	1030054367905427456	1033801684193959936	1035411865315278849	1035412709100216320	1051877581610397696	1051880269630730242	1051881772638773251	1051882203137921029	1051882259102519298	1051884220501520385	1051884671502446592	1051885160424267778	1051886690405511168	1051886693958074368	1051887820967571456	1051888956554407936	1051889276701560832	1051890830368100352	1051892473914486784	1051899397062168576	1051900007593504770	1051901734124052481	1051903557622992901	1051904037677883394	1051905606334988288	1051906091267719168	1051906111551369216	1051906984755236864	1051908129171144704	1051910797646020608	1051911881890426882	1051911910030016512	1051912055404589060	1051912393939406848	1051914233288355841	1051914706154377216	1051914900010885121	1051915681040658432	1051915720248963072	1051915899702251520	1051916695391150080	1051917156521320448	1051917413242015745	1051917733300977667	1051918126860910593	1051918348831875073	1051918739766095872	1051919414281482241	1051919417179701248	1051919765319688192	1051919880474177540	1051921708322619392	1051922153388544000	1051925802009411585	1051925963364294657	1051926139088896001	1051927603744055297	1051928318075961344	1051928380512395264	1051928726475235329	1051930981022674944	1051930984562667520	1051930989583249410	1051930989092466688	1051930993140031488	1051931863361642496	1051932087555710988	1051932624241999873	1051932873769529349	1051933116703461376	1051933121174679553	1051933125700333569	1051933360900190209	1051933377862008832	1051933452608708608	1051934064540835841	1051934132970827776	1051934711084445696	1051935849284345856	1051935950002155521	1051937189616148481	1051937187682500609	1051937292569337856	1051937353076494336	1051937393719283712	1051937519770656768	1051937938370629633	1051938276695728128	1051938289819693056	1051939036544155649	1051941041731985408	1051941798157971457	1051943318911938563	1051945325068337153	1051945537879101440	1051946722610442240	1051948797448851459	1051948801643167744	1051950273080512512	1051950467658539009	1051954055092822016	1051954675312943105	1051957916847271937	1051958486702182400	1051959413718876160	1051959612113588224	1051959901197688833	1051960931561877504	1051961230557151234	1051963500099198976	1051964259587026945	1051965706089172993	1051965934477422593	1051966696892915714	1051968097874300931	1051968993995546624	1051970230271037440	1051970540112670720	1051970743389409280	1051971191643299842	1051971600634040321	1051972446440607745	1051974510474194944	1051981266344701952	1051981401246060544	1051981457562816512	1051983835301388288	1051984482566361088	1051984840831262722	1051986017660489728	1051986038527164416	1051986114502770688	1051986231620526080	1051987094992822272	1051988352239456256	1051989838986141698	1051990424972222464	1051994130660945921	1051996637118238720	1051998282480844801	1052004297276186624	1052009097434939392	1052010680625311744	1052010747138465792	1052017690049748992	1052018631784230917	1052019515004002305	1052020289469595648	1052020911581351936	1052021322249842693	1052022460831416322	1052024418594115586	1052024591965544454	1052029455189856256	1052031444191772672	1052031987341393920	1052032803313840128	1052033807455535109	1052037130887852032	1052039463507906560	1052040331225645056	1052041418158628868	1052042058989428736	1052045228209631232	1052047596632645633	1052047897372422145	1052048473456021506	1052051951033049089	1052052559593127937	1052054257069907969	1052055431139532801	1052057257146535946	1052058612581961729	1052065111714816000	1052065577089396737	1052067506096132096	1052068428192702466	1052073891550486528	1052075686586765313	1052076037155115008	1052077117356290048	1052079396088160257	1052079849068740609	1052080609114382341	1052081784362606592	1052084473792217088	1052085991928934401	1052088782470574080	1052089682715127808	1052090799008169984	1052090979166117888	1052092070175764481	1052093444682862592	1052095136602173440	1052095884043771904	1052096707226406912	1052099395548839936	1052100144672456704	1052104391841501184	1052106489647833089	1052106998320439296	1052107086493089792	1052107881250676736	1052108191205474304	1052108233823973377	1052109914791923712	1052119359248719872	1052120509557743616	1052123236144701440	1052124504862773248	1052125698322784256	1052129423309328384	1052129742319697921	1052133023527915520	1052135904452608001	1052137267656036352	1052138765655965698	1052138971080187904	1052143845553520640	1052143974318665728	1052150169674887168	1052151564050333696	1052153799991861248	1052156215042535424	1052160227104186368	1052160226659586048	1052162276722130944	1052162733238603776	1052173032763076615	1052173088824143873	1052173795723763712	1052173804221419522	1052180020603617280	1052188213618462722	1052189284512526336	1052192359306280961	1052202682423930880	1052203722095366144	1052212990446104576	1052213812961701889	1052220425604947974	1052227777364193280	1052229280418197510	1052233035444350976	1052233389359677440	1052235060466847744	1052235222023098369	1052238387057491971	1052239502956290048	1052242845808160769	1052243523834142720	1052246822922661892	1052248509045506048	1052249838899716097	1052249848865538048	1052250084690120704	1052250087231913984	1052253586107850752	1052254732327112704	1052254736412368897	1052255868585046016	1052256072470282241	1052256245506166787	1052256899113070592	1052257155523497984	1052260662364127232	1052265554785042434	1052265873350778886	1052266194361675777	1052270085514113024	1052270735421509635	1052270975612534785	1052271100225343489	1052272765934350337	1052275187410919425	1052275231748849664	1052280467460898816	1052286884783644672	1052288261207576576	1052288428862308352	1052289075020005376	1052290443738836992	1052291842459529216	1052293042030301184	1052293591316422656	1052295618364768256	1052295658500235264	1052301038240366602	1052301591628435457	1052305297606365184	1052310622002540544	1052310849606639616	1052313843203010560	1052320159346712577	1052322813305151490	1052327044934066176	1052327675447140353	1052333456477302784	1052338339876093952	1052338835005165568	1052346606844960768	1052358613220642816	1052360679594881024	1052364011604447232	1052364885605195776	1052365828908244992	1052370539862532096	1052371864893435904	1052385293867847681	1052385697800175616	1052398786310483968	1052398809689575424	1052408657009405952	1052408863192829954	1052410742467629057	1052419727979622400	1052421950616813568	1052421974796984321	1052422512783622145	1052424468197502977	1052426195063726086	1052430769321385986	1052437867899879425	1052438992438874112	1052439416428527617	1052439454856691712	1052445300730810368	1052455229403422720	1052464020861710336	1052482870621687808	1052488671578996736	1052488685017546752	1052489029181206528	1052492988889358336	1052499806663389185	1052500896683196416	1052502102935769088	1052510303932620801	1052521263405682688	1052521624946110464	1052521888038211585	1052526013308170240	1052530050569003008	1052531438048829440	1052532662001389568	1052532949780844544	1052534996907581440	1052552930006585346	1052555591703384064	1052564504209313793	1052566578095624192	1052568060631162880	1052573772283183105	1052583663697686529	1052589129689649153	1052605679565910016	1052612844506644480	1052612915105288192	1052612927520460800	1052619849443278848	1052626196750454784	1052626595175903232	1052631809664671745	1052637437300797441	1052637567248523264	1052641794356375558	1052652465877848064	1052667276703539206	1052670443579043841	1052673370175746048	1052673581929250817	1052673696941391876	1052677744599977984	1052680702632873985	1052684479238721536	1052686552743038982	1052687390764986368	1052691982097760256	1052694260057686021	1052700829231210496	1052708715940458501	1052709455115227136	1052720946954625024	1052727098626985984	1052728275582087168	1052744665844322305	1052744749776560128	1052764577937678337	1052771132049317888	1052789056713748480	1052808463926083584	1052819380600496128	1052831196168765440	1052831720947535872	1052842864089227265	1052861363922571264	1052875797541900288	1052899664465399809	1052902148986556416	1052905917459632128	1052924845426503680	1052947639334002691	1052950605906489349	1052958295810600960	1052970084770111488	1052971630610272257	1052992575358025728	1052994664469618688	1053001349577756672	1053003935081005058	1053015334549118977	1053018713773944832	1053062061880569856	1053066842867040256	1053070792215404551	1053075398764969985	1053078472946606080	1053079602791358470	1053087555292483585	1053090986077941760	1053112994672988160	1053117275568390145	1053129765014700033	1053138197134237696	1053156772448493569	1053167859256487936	1053257245369212928	1053257684932272128	1053264277107179520	1053264579453706240	1053264821980786688	1053264827811094528	1053266276968058880	1053266286820511744	1053267180597403649	1053269928487186434	1053294695340826625	1053298534848626688	1053306290078834688	1053308164144214016	1053308556240277504	1053309722852499457	1053309875068063744	1053312342497185792	1053312416069677056	1053314851638890498	1053314866839076864	1053324534823206912	1053329916484337665	1053333865794662401	1053336508172664832	1053338834145083392	1053343005044703232	1053351759320616965	1053353191998398469	1053358267236278274	1053377240438837248	1053381790981853190	1053386030777294853	1053391489949151232	1053395014280196103	1053410774104719360	1053415854065545216	1053421372075065345	1053421399912706049	1053425732305739778	1053427800861040640	1053431878475304961	1053473014417899522	1053502483190947840	1053515432664084480	1053592941736927232	1053602328882884609	1053606212762136577	1053619965838983168	1053622871111753728	1053624317089472513	1053649910472601600	1053676709025865728	1053683175556210690	1053690350718607361	1053703303085854722	1053704414312185856	1053715083103297538	1053721399045640193	1053722497026285568	1053739625192263686	1053752988597211136	1053754199681523713	1053759154760941568	1053759568487112704	1053760268088545282	1053760798651166720	1053762627170590720	1053762989981986816	1053763029848928257	1053769971027927042	1053770026958946306	1053771900361543680	1053781302162317312	1053781702945005568	1053787017023229952	1053796670662680576	1053798301580046336	1053806913174020096	1053845444990767104	1053866560845217792	1053872217623314432	1053873630504017920	1053873912277278720	1053873949308784640	1053874656749518848	1053906829858783232	1053916288240762880	1053937451675217921	1053948381826113544	1053956113383768064	1053957888295677952	1053961662368305154	1053971660548694016	1054004800067645440	1054009412338122754	1054027468967833600	1054039889338163200	1054046505600983040	1054050427967361024	1054050461291044864	1054055134760747008	1054077868064555011	1054077890587807744	1054077902340395008	1054082945714143233	1054083714320199682	1054088247289229312	1054096670810529792	1054101966073331720	1054103800334684160	1054106576523587585	1054106924969533441	1054145522943123457	1054148179682185217	1054172725747437568	1054185281874731009	1054187977897852928	1054202097846095873	1054210079845691392	1054214916058607617	1054225978669588482	1054229888704536576	1054285799594868736	1054288092658630656	1054292754124152833	1054296562527027200	1054297332584337410	1054316926321745920	1054317209143652353	1054324242475507712	1054324860006977537	1054325411549573120	1054325872675631104	1054327925124878336	1054346119898152960	1054358324169359360	1054366296601755649	1054373633940905984	1054378134529806336	1054387157563932672	1054390464424632320	1054391633092005889	1054391654398885889	1054427779981328384	1054431053207740416	1054433343570358275	1054437950665187329	1054450043476832256	1054464754947768321	1054468780779364354	1054477640197795840	1054479652750852096	1054485554589585408	1054496553677832192	1054503147115307009	1054515412480733186	1054519861647413248	1054524755859058689	1054525341363064832	1054545489474056192	1054546731260616704	1054579690072006656	1054595700460183552	1054595708513185792	1054626773000962048	1054699317963907075	1054739681575948289	1054782665180643328	1054797050422935560	1054805004618526721	1054808882109992960	1054811111080390657	1054816838373109760	1054824336652156931	1054825785951846400	1054844321248280577	1054933685441417217	1054939412721594368	1054939810815594496	1055085273447653377	1055121792296194048	1055138456702279680	1055151107712917505	1055165108744122368	1055189270422609921	1055198411908177925	1055222484172267520	1055233752228655104	1055316849162903556	1055369503846985728	1055396670022782976	1055418141604364288	1055455308527607808	1055489957278568448	1055498554385547269	1055513709181890561	1055519722907885568	1055529350177542144	1055541022955106304	1055542889235779584	1055547173931270144	1055547374293135360	1055548125979512833	1055551946843701250	1055552547329581057	1055577432399347712	1055594721534369795	1055604423509053440	1055611117601517568	1055612167012212737	1055613662285709313	1055623503871827969	1055624124385517569	1055653619150807040	1055658450678616065	1055664873105952768	1055673312183898112	1055681914743517184	1055689984668139520	1055695691853504512	1055697375530954752	1055727482031296513	1055748274253168650	1055761442169937921	1055762213351444480	1055764838788476930	1055766940977836033	1055795751396302849	1055802523838308352	1055821288126722049	1055844811616464897	1055859156543066118	1055878521984143360	1055879810398986241	1055892494188191746	1055896861154926593	1055902795931574272	1055907489374486530	1055914298537639936	1055918547774271488	1055943302242074625	1055955583998877697	1056040510228434946	1056131080821108736	1056138682019778562	1056151933222838272	1056202133463277568	1056225883990589440	1056232845641953280	1056244160724955136	1056257986186960899	1056276420996009984	1056301868685635584	1056331734885769216	1056333154326401024	1056338672050614273	1056344727656783872	1056349877939175424	1056352373084434432	1056412054901338113	1056423112496070656	1056579458029772802	1056621900863029248	1056638696953470977	1056643669158174720	1056658439856889858	1056671631941152768	1056677900831936519	1056679638053912576	1056761835880411136	1056780951223713792	1056790353850712065	1056802355512000512	1056808466952736768	1056858255727697922	1056871197927976961	1056873445491847169	1056901689096187905	1056912866928967680	1056922565006974976	1056922585210982400	1056922686025330688	1056923034320277505	1056923392853622784	1056923588215877632	1056923868689022976	1056924284940099585	1056924328066011136	1056925174912770050	1056925486402670594	1056927354382102529	1056928408435912704	1056932521626271745	1056932641688170497	1056943023643217920	1056943482512834562	1056951543704907776	1056963721501777920	1056969250714382336	1056973130625892353	1056984281401122818	1056985014091448320	1056986588880621568	1056989709308702726	1056990136653643777	1056991444878155777	1056994421533749248	1056994787746672642	1056995556944424960	1057001590626938880	1057008440525144068	1057011544742014976	1057014817758855168	1057023733775429632	1057024898474795008	1057037906299240448	1057039239295176704	1057045733680078849	1057048342620975105	1057051477372366848	1057061372335247360	1057070033984208896	1057071301376921600	1057082190566051840	1057105808943509506	1057112146578948096	1057125243670683654	1057128840936521728	1057142554104229888	1057149939468259328	1057168556905979904	1057172356198617093	1057192708836614145	1057196084659974144	1057214813439438848	1057216800818106369	1057220048295809024	1057229647119876096	1057248305019830279	1057252374916554753	1057260884417044480	1057264402792153088	1057268640792432641	1057270977028128768	1057278191591669760	1057286007098269696	1057311376648093697	1057325983475425280	1057326459658911744	1057332912134242305	1057335787635830785	1057338849939087361	1057340290401492993	1057353272737103872	1057354002004758528	1057363869709021189	1057374317237944320	1057391909788938240	1057407452986175488	1057407491812802563	1057408925216243712	1057422631807389696	1057438190183673856	1057458420671004675	1057464793844645888	1057495695660384257	1057536077077078018	1057540215403896832	1057544958952042496	1057584262743031808	1057615475742519296	1057620275766980608	1057643929049464834	1057645712685625345	1057650368572805120	1057650419927801857	1057678686755975169	1057701939037622273	1057719596084592643	1057725886772977664	1057739024843112454	1057751781252435968	1057791472668495872	1057800192676769795	1057800767753670656	1057832332097400832	1057843385527091201	1057871635364098048	1057906794272616448	1057937886736089089	1057957512366952448	1057979346256838656	1057985158723330048	1057985475380740096	1057985482892738561	1057995843066724352	1057999982580514816	1058007045646024704	1058028871428259840	1058040194916630528	1058046223607848960	1058066345949044737	1058073366538653697	1058088258708619266	1058109196644827136	1058109563768094720	1058122785111920640	1058161440115306496	1058168592666185729	1058201290327523329	1058231726189641728	1058285992640098304	1058353629982187523	1058361660027609089	1058394332598804482	1058394505731289090	1058403082801987584	1058414232356769792	1058431431586734080	1058431810001022976	1058434932354224128	1058448513200218112	1058449112322973697	1058463113165656065	1058474102573408256	1058482813438255105	1058521114392125442	1058530627492962304	1058536816150757376	1058537025975058433	1058562689167998976	1058569016179011584	1058592105830985728	1058602177185357825	1058683836656168960	1058719729555259392	1058747140023902208	1058787663510040576	1058794580492062725	1058897002635972608	1058918790786936832	1058923330881839104	1059013540529487872	1059028275593441282	1059034091910242304	1059056756213669888	1059059308674142208	1059098345707319298	1059102120371240962	1059104260959465472	1059109690829930496	1059125105933062144	1059146602810695680	1059151355359707136	1059169370864320512	1059185987811770368	1059204386059096070	1059216467676131328	1059220935478251521	1059225677424197632	1059228253070647296	1059233903255273474	1059277594019938306	1059297615727054848	1059344008583962625	1059382983793070080	1059413573317939200	1059432908480540672	1059434915941572608	1059462759623077888	1059463854521020419	1059465876016119809	1059469065738248194	1059469104850051072	1059540368507760640	1059553166973394946	1059553203199590403	1059560704011845633	1059583668451205121	1059584008974151686	1059588469935276032	1059591162162565120	1059595303161135105	1059611430423543813	1059652822709518336	1059747958474883072	1059755636987170816	1059765272117096449	1059765391315091457	1059772258237976576	1059802715168083976	1059813946583121920	1059830075812691968	1059848581522341888	1059849204615520256	1059852925621714947	1059853694957539328	1059860456909750272	1059862283554299909	1059862889979355136	1059866316218290176	1059868351697182720	1059883114514673665	1059898263741042690	1059898275141206017	1059903171764633601	1059915545271787521	1059936483296059392	1059943439742177280	1059946901406183424	1059953619246694401	1059975360262086657	1059992293510270976	1060024293868949506	1060051940283953153	1060142680305557505	1060179814840037376	1060191277994704896	1060208547596779520	1060243009688780800	1060275270370951168	1060278069754298374	1060290634521698304	1060291796826120193	1060311508914200577	1060316982774456320	1060331165633142784	1060333048875618305	1060364691837411328	1060406828843048961	1060425577793011714	1060430511733198849	1060442710904049664	1060491558720421888	1060533062608465920	1060535279197421569	1060535557288271873	1060537825131724800	1060538338690494465	1060556479927894023	1060559137971392512	1060569505984847873	1060588900639535104	1060595450368192517	1060602669239332864	1060620081837686784	1060624340109156362	1060626954334994432	1060628591560540161	1060631228037115908	1060631944675901440	1060632900356464640	1060634935164317697	1060637072137039874	1060640383850500100	1060645808259981314	1060652924064403457	1060653695283671043	1060672280655785984	1060709967337013249	1060723192422002690	1060733757517414401	1060821392956878849	1060900905304780800	1060904820977164288	1060917779245740037	1060925410878373888	1060935149376954368	1060943464857243654	1060957949991010305	1060971206092996609	1060974307860471808	1060978474566012928	1060996165251014658	1061002689952268288	1061009106079805441	1061009232382824448	1061009520191782912	1061013189591101440	1061027269077094404	1061044295103324161	1061065804438036485	1061067338831749120	1061070993651916800	1061075683785498624	1061078565565927424	1061089525953449985	1061090859720929281	1061095100300718080	1061105283244744704	1061113540864438272	1061118858545766400	1061125502600011776	1061126363376205824	1061132163930882049	1061154811473813505	1061156680170299392,1,"['697_1024_November-2011.jpg', '730_1024_August-2013.jpg', '1001_1024_September-2009.jpg']"
gossipcop-829660617,www.celebdirtylaundry.com/2017/ryan-seacrest-relieved-kim-kardashian-to-fill-in-for-kelly-ripa-on-live/,Ryan Seacrest Relieved Kim Kardashian to Fill in For Kelly Ripa On Live!,899283457406255105	899283759656300545	899283998039396352	899284231179960320	899284452542734338	899284485459628032	899285127041347584	899285152307851264	899285164395819008	899285219009859584	899285347280015360	899285372311662592	899285489408192512	899285632832458752	899285694354534400	899285790513090560	899285838034599936	899286133703573505	899286270807080961	899294236327137281	899294257961250817	899294260641488897	899294268405108736	899317918076481536	901820355333029889	901828957565198336	901828964590567426	901828963441434625	901828965987377152	901830466713604096	901832115037376512	901834330179346432	901834489495683073	901965742182158340	902083386512211968	902090659560951808	902090660106256384	902906420630134785	902906419883544576	903691951211347968	903691950028554240,1,"['500_359_GettyImages-682787084-1.jpg', '500_749_GettyImages-824289138.jpg']"
gossipcop-6010530745,www.goodreads.com/book/show/12299419-mystery-man,"Mystery Man (Dream Man, #1)",180124668508913664	207870105755975680	225895624913063936	233885029896433664	233889343511613440	236547179450351616	292036308715593728	297488568174145537	319466895319384064	319763441286017024	352278136731348992	352460704898486272	354154014998413312	364834424929521664	373284133625397248	392520553992822785	394691266119626752	394816367670464512	394900431035305984	394997762254589953	407884631489650689	408058734066544641	420192327416545283	420199560317661184	420290775629721600	420309634243895296	420329550350790656	429678599097311232	471359889017946112	474564551564726272	475335037877882880	507655371721158656	512166861413154816	533247388740096000	533250387340320768	534598028795985920	541231654384041985	541264527354908674	556425836669456385	556475861281832961	556524881370972163	564779074195705856	564833616358690819	565057354039689216	566762384342003713	566796570687852545	571661330257743872	588994385460658177	589897061912416256	590137942577905667	590411348317708288	590570448288620545	596009043161911296	608289781731041282	608290239379996672	612462179053277184	624328939259826176	645918809799413760	649667368285794304	649922151932411904	683905545322020864	685270843799113728	721579755162587136	748849342035927040	763314390749904896	769934182826946560	769934264620032000	769938654366236673	773687513143660544	776601937924001792	789329119674720256	790712918606245888	791595734764253184	805987184197169156	844217834846769152	845511825932218368	861340407015321600	870572746765238272	870572787789733889	870578761745432576	870631993062690816	886224812263301121	892649421133008896	910054489398431744	924389119131656192	994306523701526529	1029871522779938816	1049372365354926080	1054402651243212801,1,"['429_540_8447123._SY540_.jpg', '500_334_799627.jpg', '404_540_8447122._SY540_.jpg']"
gossipcop-3996753978,www.thecut.com/2018/05/kim-kardashian-wants-khloe-to-leave-tristan-thompson-report.html,Kim Kardashian Apparently Can’t Wait Until Khloé Leaves Tristan Thompson,1000785514449063941	1000791380770328577	1000794255747514368	1000811369837424640	1000823777775632384	1000942537643872257	1000986518591176704	1000990398154727424	1001362506860908544	1004533603982823424,1,"['536_536_06e68db614989ae62c468a696cbe28d7f8-5-6-inhershoes.rsquare.w536.jpg', '536_536_2fed6f6840c5d537bc5f351d0a7f7b0a36-6-9-MurryKellis.rsquare.w536.jpg', '536_536_82de16ae25442cfedd974513338fcb86fc-ssense-sale.rsquare.w536.jpg']"
gossipcop-8611166284,dailycaller.com/2016/10/05/jennifer-anistons-mothers-caregiver-writing-tell-all-book-to-expose-actress/,Jennifer Aniston’s Mother’s Caregiver Writing Tell-All Book To ‘Expose’ Actress,,1,"['480_360_hqdefault.jpg', '960_411_GettyImages-461603702-e1468415462392.jpg']"
gossipcop-8136305724,www.celebritynetworth.com/richest-athletes/nfl/eric-johnson-net-worth-2/,Eric Johnson Net Worth,485947575678140417	485990101420216320	541268059852271616	541268064868634624	567044718781931520	567081771586424832	567081810509582336	591623099159879680	617335248817364993	688645747588251648	688645777841782784	689943122843869184	689943120495185925	694500060717928448	694500075590955008	703953778072883200	703953795391172608	703954188955361280	703956577733070848	703956575585587202	703967228933251072	704165610108948481	704165623828381697	704165635937337344	704165701322289152	704165723891855360	704168650916237313	729441736813117441	749094874792636416	749094883663618048	991935579905503232	991935602974167040,1,"['600_300_Eric-Johnson1.jpg', '338_250_Jarvis-Landry.jpg', '338_250_justin-smith.jpg']"
