id,news_url,title,tweet_ids,labels,images
politifact333,https://web.archive.org/web/20080204072132/http://www.rockymountainnews.com:80/news/2008/feb/02/romney-tells-denver-crowd-he-can-salvage-economy/,"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News",,0,"['210_90_promoReprints.jpg', '92_42_alphame_diy_black.png', '63_63_wolf.jpg']"
politifact4358,https://web.archive.org/web/20110811143753/http://www.dems.gov/press/democratic-leaders-say-house-democrats-are-united-against-gop-default-act,Democratic Leaders Say House Democrats Are United Against GOP Default Act,,0,"['91_114_Edwards_Donna.jpg', '655_104_Recent_News_Banner.jpg']"
politifact14064,http://www.politifact.com/truth-o-meter/statements/2016/jan/21/donald-trump/donald-trump-exaggerates-when-he-says-china-has-to/,Donald Trump exaggerates when he says China has 'total control' over North Korea,690248006399049728	690254026663821312	690276950812721152	690282277935452164	690290570099486720	690290573954056192	690299488351551489	690301743796629504	690303164348628993	690306200479469568	690313168543846400	690341420943671296	690343545388015616	690387692086038529	690516103953518593	690613756225835008	690918860099305472	691334666893266945	691726420071071744	695625668508282880	696147797486112769	699419517072633856	699911978245099520	700277772233633792	703901532929060864	725370950166806528	780596690193494016	780600149437317121	857270944787779584	950389451842375680,0,"['30_27_meter-pants-fire-th.jpg', '84_100_3609eadbe8c3d501d1f980e99b555a16.jpg', '84_100_78a5e0ef2bfa496fcae69e552b9289e5.jpg']"
politifact937,https://web.archive.org/web/20080623122709/http://www.sciam.com/article.cfm?id=a-solar-grand-plan,A Solar Grand Plan: Scientific American,140962137332920320	141057766704947200	141166992165044224	141536162702565376	141608148103462912	141717377363619840	141783312627793920	141897044527824896	142195015395966976	142254648311545858	142304258283417600	142526934813913088	142746159943917568	142801514677809152	142860900389502976	143238907524431872	143332502000504832	143442486789013504	143581407355224065	143883388309352448	144034886569836544	144137814576070656	144445609544400898	144451627481448448	144585525930635264	145026913851809792	145104169794142210	145136899256885249	145248633548308480	145583853325656064	145674947359031296	145723778394103808	146138479464693760	146165170346016768	146274400923160576	146848193924182016	146872315869802496	146981572145446912	147959482754936832	148068713294348290	149001871409946624	149023762841468928	149132969574023168	149376343677747200	149574143187234816	149683358849433600	150104388550135808	150294900611612674	150404114965204992	151382045451485185	151491281854545922	152469204296155136	152578449368809472	153556371294531585	153665611917041664	154278376037810176	154461334208126976	154571308863197184	154671474341462016	155012212392607745	155157667743137793	155172785914781696	156099372168392705	156244825904119808	156588360880758786	156686505954390018	156795736816758785	156969872159551490	157234121968586752	157243430857228288	157352632011325440	157605346179952640	157793332087627776	157902509967552512	158203738081861632	158390741675159552	158499946461528064	158598847889809409	158886486740189185	158976857654575105	159086095324295168	159715704814321665	159803586774179840	159918531453001728	160074321539235840	160359199358984192	160390658857766912	160524615028965376	161446361848496128	161586561153122305	161817891455504385	162027452049260544	162633522971033600	162634946316476416	162872518347206657	163043686719033344	163720653114056705	164131123813822464	164276616208449537	164293359526088704	164800215977693184	164862386933743616	164971592248602625	165949541294673921	166058765710401539	167036749091053570	167146167782735872	167274255451557891	167587068355162112	168233341366185984	168674229435367424	169181348303601664	169308447714717696	169622241041072129	169949182088581120	170037480819654656	170353810852675584	171036345765072897	171440984998158336	172123493176049664	172528144908165120	173210653606166528	173211984563675137	173615299797598209	174297830188523520	174586948323782657	174708779852627968	174848662906744832	175130013170008064	175289831889436672	175399055436951552	176376994563502083	176486223488106496	177464157673754624	177573384526381056	178551326148538368	179638491444035584	179753759507886081	179816933804347393	180189117777321984	180840924052602880	181276282414309377	181928081748004866	182363486549053440	183015243167965184	183450592071532544	184102414943666177	184537765155844096	184890349125255168	185189576913076224	185624992699006977	186276734348427264	186712087223996416	187363900528922624	187799359923044352	188263730994348033	188330005141524480	188698957650722816	189350797555933184	189786135399120896	190437899060264960	190873284840140800	191525106420428803	191960448160120832	192612266095546368	193047612134391808	193403446630686720	193699383794077698	194134791325626368	194191876025364480	194786625392345088	195221954695929856	195873755568943104	196309104153739264	196960917957771264	197396269600215040	198048091578957824	198483442848104449	199570598630932482	200222405170434048	200657754854141952	201309555404177408	201744956543602689	202396726412316672	202832081989009409	203483859499745280	203925539780702208	204035260667805697	205012703419437056	205122425099268096	205244223056916480	205981565476540416	206055056196370433	206099865455951872	206209587840425984	207187039836311552	207296751365931008	208274200413208576	208383921904291840	209361356971966465	209471086524502017	210448526033948673	210558248414224384	211535674032128001	211645413051203584	212622852409659394	212732570956341249	212747780949688320	213710021169647616	213819731747151872	214797193826144257	215079055786119169	215884357494255617	215994075604713473	216971510118748160	217648884946702337	218058671031193601	218168396863377408	219145840177070080	219255549836001281	220233002712698880	220342718281428995	221320162631090176	221429885074292736	222407356712108033	222517049375723522	223494489623367680	223604203279486977	223720451531214849	223766297853435905	224581656038748163	224691368134590465	225668829949333505	225778536521289729	226755982133428225	226865703389650944	227843150822129664	228930312548278272	229040023759101952	230017476426080256	230127191126597633	230578528490516481	230587601374023680	231104673489248256	232191797856727040	232301519255502849	233278990113202176	233388688753717248	234366115181129728	235453291687976960	235563016018595840	236540451866439680	236650165237342208	237627619342950400	237737343598096384	238714803512832000	238824499309596672	239802221531914240	239911622737526784	240889069591203840	240998785730347009	241976234261766146	242085962077859840	243063397237809152	244150571282624513	244260278383042561	244456460665364480	245237732635455489	245347438137847808	246324897331154944	246434611788410881	247412055865434113	248499216048074752	248608940122845187	249586378155888641	249696101333073921	250673543858249729	250783274220281856	251760703847927808	251870421685788673	252847894539935744	252957593906053121	253424167041527809	253582707320291329	253652416875081729	253709760841519104	254173145584517120	254377193201885184	254434520802136065	254732331716337664	255101989514530817	255159375096860672	255427813308506112	255826749684862978	255884097270996993	256447084973142017	256550516560125952	256656239830896640	256773049691549696	257171877276024833	257275320812593153	257567271923363842	257896651065270272	258000123005652992	258151373181444096	258621418454020096	258723346542379008	259046050558529536	259205310093336576	259471762780213248	259517815797710848	259711714424131584	260074108014956544	260231094287364096	260276816449794048	260322868775247872	260606026997456896	260681525648052224	260968429836705792	261049482098130944	261080866191716353	261126923504209920	261351489589616640	261419885387726849	261734474285453312	261797129792667648	261885431916945409	261931469520400384	262111952434786304	262174607203762176	262474601253179392	262537254575157248	262714631318016001	262806741048258560	262837541084999680	262900160022061056	263066725698924545	263199924705959936	263262542200176640	263531516011872256	263577609034690560	263640335895392256	263666101118976000	263802320784093185	263940256414457858	264002930540163072	264271636306489344	264302627720929280	264365299787235328	264566080775802881	264665034066649088	264727692522426368	264996420308852736	265042517806948353	265105176900280320	265305973239996416	265404895581052929	265467588547588096	265736305231679488	265767320914382848	265829953197731841	266030741643751424	266129689251311619	266192351112871939	266461069550166017	266492078752665600	266554713510662144	266755502866853890	266854482791510018	266917108632416256	267185847982493696	267216827946516480	267279510783795202	267480289213820929	267579231410716672	267641922934407170	267910619808821248	267941613047775232	268004292642865152	268205059098165248	268303993653035008	268366712380997632	268635398136279040	268666406306971648	268729102918369280	268929830710558721	269028779719028737	269360167894806528	269391154439659520	269654604604653568	269753539922890752	270084948873076736	270115947233304577	270379390729342976	270563273869496321	270809718254104577	271104164447256576	271377238811885569	271534496774488066	271828931601108992	272259270005886976	272553712633913344	272984043300200448	273278487018745858	273708831584944128	273982044319674369	274433612890378242	274706878972456961	275158378148413440	275431594754445313	275883151287533568	276156358938734592	276607930307059713	276881145797423107	277148167965929472	277332707623710720	277605913836269568	278057481467490304	278330782299324416	278782255235743744	279055479576076288	279507035790385153	279780306666541056	280231814851883008	280505013862801409	280956575819104256	281229800457265153	281681356528943104	281954669599784960	282406138836819968	282679387424452608	283130911212597248	283404129789964288	283855687640051713	284129053445861377	284580461114691585	284853687518642176	285305234115395584	285578546083151872	286030013868937216	286303276079661056	286754781400272896	287028010266279936	287479561141252096	287752849818009600	288204343717539840	288477549451935745	288929111878037504	289202329939488768	289260983644459008	289971234098278400	290086752473976832	290696011016462337	290811522450595840	291420789562040321	291536297619750913	292145559916118016	292261068644950017	292870333403369472	292940549550395392	293524686443249666	293643933626544129	294249459632717824	294368705096331265	294974204804227072	295093482014519296	295698982334767104	295818256252563456	296423755641651200	296543046676393984	297148531288985600	297267815696699392	297873311415816192	297992579407036416	298598106046529536	298717370590040064	299322851314524162	299442141103542272	300047632183730176	300166910228717568	300772404282667008	300891697011908608	301497181397975040	301616458591510528	302221961612894209	302341238781255680	302946738900180993	303066017242968065	303873075949211649	304051259206430720	304597862795325440	304640559295889411	304776033519951872	305322636840423424	305500809762856961	306047415646044160	306225609527398400	306772198968922112	306950363267874816	307496971386638337	307675146850799617	308221737693233152	308399915313266688	308946511822192640	309124689295462401	309671307845459968	309849456881328129	310396065306263552	310574240120311808	311105752288870401	311283915451138049	311830521011384323	312008693824749569	312574934352277505	312691946130919424	313299689774649345	313416712349442048	313643929658601472	314108279766802433	314282811043479552	314416309070884865	315007600880144384	315141087037648896	315732375998984192	315865864748552193	316457198366633984	316590635270422529	317207947920961536	317352146406363137	317932725837381634	318076921852354560	318657501560188928	318801695754842112	319382281619914752	319526477416759296	320146817771786241	320291014185209857	320871591753949186	321015797797511168	321596368177229824	321740567983824897	322321135888891904	322465363671523328	323045917437591552	323190124139671552	323770694703923200	323914893969477632	324495469835341824	324639674436038656	325220244593455106	325364453388455937	325945023562653697	326089235033640961	326669798043963392	326814021930070017	327394587222110209	327538780292661249	328119350131310593	328263551959580672	328844122528034819	328988331360808960	329568904546496512	329713107750510592	330293680252538880	330437887000727552	331018452594745344	331162656700506113	331743231572320256	331887451268345856	332468004233306113	332612206518734850	333192780492967936	333336978399580160	333917572628103170	334061768043286528	334642349835694081	334786547226378240	335367103194464256	335511311335182336	336091887255568384	336236105403887616	336816736546476035	336960869135179776	337541442622849025	337685640235851776	338266221004853250	338410421218340864	338990995838488577	339135189336879104	339715771821355008	339859962203361281	340440540359299072	340584745886953472	341165312814743552	341309517205749760	341890099916701696	342034303351390209	342614903644909568	342759075840417792	343339644102012928	343483853119315968	344064420793708544	344208621913116673	344789210877812736	344933401050087425	345513975171121152	345658176571600896	346238749501444096	346382947340935168	346963542181830658	347107726041702400	347688291753144321	347832537747451904	348413070017703936	348557279882264577	349137859669790721	349282048575418368	349862621106798592	350006829583040512	350587402399662081	350731605549125636	351312176956456960	351456379036368896	352036953857863680	352181156696948736	352720886387843075	352736685156601857	352761725902270464	352905925608226817	353486496541581313	353630706414518272	353949734995640320	354211279440855040	354355487497662464	354936048083664898	355080265976131584	355660819280830465	355805041942204417	356385649911279616	356529812971593728	357110379513520130	357254585875841024	357835161473265665	357979356888440832	358559922423730176	358704136650362882	359284699379662849	360009480529903618	360153686074335232	360734263785684992	360878472828162049	361459035930763266	361603242385342464	362183806532333568	362328007655960578	362908589088047104	363052786097074176	363633368086233089	363777561806905345	364358159063724032	364502338784227328	365082911222939648	365227122731659265	365807691978915842	365951891227676672	366532460764336129	366676683346018304	367257261410119680	367401438357749760	367982020355719168	368126211488505856	368706788410929152	368851000964034560	369431573021466624	369575771184312321	370156343778619392	370300545749487616	370881121854439424	371025322319572992	371605898168635392	371750094414286848	372330681793519616	372474872490123264	373055448989319168	373199647877369856	373780212926128128	373924422228643840	374505001743548416	374649199562084352	375229781836857344	375373984327823360	375954539079565313	376098751582318592	376679336436572161	376823531113574400	377404093700272128	377548313689882624	378128873277640704	378273076724891648	378853659398111232	378997849268445184	379578429693497344	379722636986957825	380303217676279808	380447405030010881	381027983576031232	381172178383024128	381752761005903873	381896971155677184	382477532312117248	382621734765355008	383202302150328320	383346509817053184	383927076929404928	384071282197008384	384651848319500288	384796051506733056	385376655336030208	385520846313652224	386101399249223680	386245605041123328	386826187974389760	386970387013455872	387550963856596992	387695165869391872	388275734110035968	388419941592231937	389000504258613248	389144716396486656	389308497340661762	389725297312268288	389869489275555840	390062028620304384	390450064885575680	390594263576489984	391174841971515392	391319042927394816	391899622169673728	392043813923192832	392624402246139905	392768598898249728	393349172029833216	393493368741052416	394073960096489472	394218139443269632	394798772662071296	394942938545135617	395523490805448704	395667689030828033	396248273239154689	396392476552232960	396988151077797888	397132351375179777	397712942273429504	397857118449336320	397982212383338496	398437713176961025	398581911423299584	399162461720686592	399306678388396032	399887249221103616	400031451866873856	400612040542535680	400756221432852480	401336812612120576	401481003270959104	402061567279501312	402205778490449920	402786355350347776	402930552124481536	403511130259468288	403655332557492224	404235898675822592	404380103553323008	404735644124983296	404960682275504128	405104881348136960	405685471659192320	405829658568314881	406410222551707648	406554427534106624	407135006981890049	407279267245219840	407585923644153856	407859788887109632	408003985866784768	408584580690878465	408728760524226560	409309340659896320	409453536519655424	410034145352765440	410178321658675200	410758884547371008	410903095250780160	411483673578717184	411627865911087104	412352666371899392	412933222356750336	413077430627491840	413657998536761344	413802315108614144	414382789006721024	414526979690754048	415107551110656000	415251750321659905	415832371519586304	415976522055692288	416557100094218240	416701303252058112	417281960760053760	417426082808475648	418006648171790336	418150856446717952	418731430588727296	418875635684356096	419456191564353536	419600404255870976	420180982151806977	420325208353165312	420400991867895808	420905757799120897	421049958121623552	421630535044460544	421774739146039296	422355311903907840	422432850822967296	422499504374677505	423080153103994881	423224286263115776	423225151011172352	423804924192104448	423949125475110912	424157964060983296	424161179091496960	424529642180325376	424584989242445824	424673832130342912	424674026238533632	425254415206215680	425398617994981377	425979177901494272	426123387594088448	426704115675443200	426848179406258176	427428723068272640	427572938607714304	428153515320807425	428297925882814464	428878314275868672	429022639957364736	429603065189380097	429747270113042432	430327842988363776	430472044569174016	431052597592879104	431196816827506688	431777391070150657	431921590574784512	432515301377576960	432646367744622592	433226930134188032	433371147842121728	433951707698331648	434095920721190912	434676493764288512	434820692866248704	435401261916356608	435545465812443136	436126334201638912	436270245071044608	436851112466190336	436995027391496193	437575819977039872	437719793249312768	438300434412089344	439025155835457536	439749907411660800	440474701597786112	441199467724034048	441924492814995456	442634268628770816	443397255148883969	444121984868560896	444846749874946048	444847622428164096	445571605436325888	446296309528797184	447021124535463936	447745858122293248	448470631701823488	448831196219596800	449195405956624384	449920179179634688	450724975310536704	451449785191784448	452174525544026112	452899314361438208	453624504007557120	454348851861028864	455073650073665536	455739569090985984	455798407010217984	456523480205246464	457248226937417728	457972744081387520	458697849362845696	459422351395143680	460147189713731585	464936913942888449	465661706661019648	466215091978141696	466386428369600512	467111213873524736	467835981371293696	468560783669207041	469285553859723265	470010296736948225	470735096505708544	471459880717787136	472184835285716993	472909626225459200	473634386974621696	474359193831763968	475083780303372288	475808658589495297	476533519976783872	477258105441366016	477982945593270272	478707798633889792	479432883808268289	480157318030430208	480882046873923584	481607057158963200	481728879455780864	482331490798559232	483056285126893568	483781077094649856	484505859905425408	485230794890575872	485955471065772032	486680177695784960	488129690146979840	488854476909203456	489579263423942657	489665487404818433	490304017772199936	491028799367434240	491753567225937920	492478347952144385	493203132357156864	493927894008479744	494652672944144384	495377447194734592	498276654515752960	498734569735352321	499459343289708544	500184180433887232	500958223487479808	503857324789092352	504569060504649729	505293816753291264	506018580262322176	506756447116746752	507468122715348993	508192897900879873	508917674068676608	509642447920848896	510367281432768512	511092053527506944	511816773730324480	512541550459752449	512643437842014209	513266324701978624	513991103922839552	514715875774324736	515440651962699776	516165439958028288	516890203869708288	517614977520508928	518042373780017152	518339756988858368	519064531134586880	519789307322961920	520514084677378048	521238859695542272	521963632511709184	522688408700084224	523413187014950912	524137962855235584	524862739450433536	525587514242109440	526312289281249281	527037062080643072	527761842450735105	528486617062068224	529226540580884480	529951361950318592	530676041980071936	531400815991611392	532125592813305856	532850369064624128	533575141364871168	534299916592758785	535024694672785408	535749468621373441	536474247598993408	537199019702124545	537923804778213376	538648572972249088	539373348523106305	540098123184758784	540822901726146561	541547676513611776	542272453779922944	542997241578143744	543722002318884864	544446780063383552	545171556109156352	545896329923530752	546621106757828609	547345884007370752	548070660384116737	548795434605768705	549520208214626304	550245105664532480	550969759081431040	551694536553291777	552099761302814720	552222200213016577	552419316298424320	552440470719442946	553144086916784128	553206832383422465	553468575068209152	553868865483325440	554593639088017408	555318413120528385	556043188600066048	556767987534168064	557492746043535361	558217555446607872	558231515901865984	558231814834102273	558942298634207232	559667068011024384	560391849819770880	561116621407010816	561841397817675776	562566191303380992	563290962072715264	564015723341955074	564740503040950273	565465273239896064	566190050950787072	566914825897664512	567639600743874561	568364376706711552	569089170997686274	569813927598686208	570538731041652736	571263479186911232	571988260165181440	572713033132339202	573437809601712128	574162586033332224	574872261271883777	575597040807362560	576321829658308608	577046592454332417	577771366658809856	578496147246964736	578687357202862081	579220918960066561	579945705923543040	580670500935999488	581395244958277633	582120017711521792	582844795808325632	583569575947718656	584294348495400961	585019125048705024	585743906085691392	586468677052162048	587193490527879169	587918228493639680	588642999401340928	589367779767230465	590047999159455744	590092558388350976	590817330088824832	591542106298134528	592266906889023488	592991654413520896	593716433177182208	594441216143523840	595165983511306240	595890759557115904	596615542481547265	596968538478399488	596978813076017153	596980266192773120	597340308448354305	597768174227030017	598065086872293376	598789867959623681	599514637382586368	600239424392269825	600964196356988928	601688966019047424	602413758670069760	603138597789802496	603307196034752512	603863301664186368	604588069199745024	605312867345252352	606037620204937216	606762404496740352	607487177782632448	607559149728063488	608211958245040128	608720066478227457	608936728783646720	609661497908830210	610386275028307969	610794049046327296	611111068560179200	611835824544555008	612560608697958400	613285416985362432	614010161280061440	614734930061434880	615459712537116672	616184492068372480	616909253232693248	617634041580388352	618358812131618816	619083585727938560	619808374981545984	620533144446308352	621257911814201344	621982683455950848	622707460692951040	623432234918350848	624157044577316864	624881788905779200	625606565530324992	626331360064573440	627056123225448448	627780888412168192	628505666345398272	629230478445445120	629955215505129472	630679994893774849	631404772789252097	632129543449485312	632854317733662720	633579105414479874	634303891509780480	635028649771708416	635753430343155712	636478199082393601	637202979351871488	637927869348474880	638652528104734721	639377306541260800	640102086743560192	640826861103239168	641551632887607297	642276434409594880	643001189618028549	643725973935009792	644450819484569600	645175509295497218	645900380400939008	646625056886530048	647349839634792448	648074608852238336	648799398542098432	649524195630706688	650248939338375168	650973717128986624	651698511512240128	652423272487874560	653148040761638912	653872816442474498	654597593687814145	655322372128559104	656047246304260096	656772024543629313	657496695530475520	658221483735564288	658946259303211008	659671025282584576	660395796966297600	661135683952734209	661860445301641216	662585489988452352	663310006318718976	664034785103364097	664759550650793984	665484375270772737	666209114624757760	666934011772694532	667658650710863872	668383497980092416	669108202580131840	669832982618861568	670557753165877248	671282530109300737	672007305785966592	672732087032614912	673456917734424576	674181642106372096	674906420534501376	675642519212974080	676355966221307908	677080755013595136	677805521458618368	678530286678900736	679255062217170944	679979850724208640	680704743661027329	681429390106980352	682154164957372416	682878940571119616	683603716432347136	684328492570382336	685053267735347200	685778124970323969	686502819151638528	687227595054813184	687952371817799680	688677146395602944	689401944822063105	690126699346972672	690851476856504321	691576250649952257	692301025143832576	693025810194829312	693750581693960192	694475357735493632	695200133936504833	695924907155308544	696649695142223872	697374458739322880	698099239650488320	698824012680556544	699548789481324544	700273579896807424	700998341145010176	701723112660975618	702447890380300288	703172726710673410	703897441049903106	704622217112522752	705347022753275905	706071768503590912	706796548441698304	707521315624914944	708246091532267520	708955794243526656	709680600744140801	710405323966832641	711130135269941248	711659280336818176	711854872115679233	712579676632428544	713304450761420800	714029197832884224	714754011036000256	715478855520129029	716203530785173504	716578871135510529	716858626766282752	716928302431207424	717653079278141440	718377855957274624	719102629792583681	719827405389631488	720552183264096257	721276956826865664	722001750698434560	722726509191000064	723451334230458368	724176059793563648	724900875433574401	725625611113353216	726350386546745344	727075162382852096	727799938244063232	728524713824235520	729249488301395969	729974265106280448	730473600914960390	730699041516978176	731423815323029504	732148590794158081	732873380752416768	733598200695816192	734322932852379649	735047694964686849	735772473686261764	736497246020194305	737222022854549504	737946845503164416	738603333464690688	738671573566169089	739396348043218944	739583562291105792	740121191868960768	740845904509427713	741570755452928001	742295568471494660	743020229186490368	743745006146465794	744469779067572224	745194555700543488	745919333122056194	746644110409347072	747368944458207232	748093658134614016	748818447505784832	749543210184302592	750268031272706048	750992761063628800	751717535935004672	752442346659250176	753167087389044740	753891862000373760	754616641183420417	755341416415563776	755694978861502464	756000095569575937	756066226498052096	756224773349187584	756790966695108608	757515826916429824	758240527632437248	758965309508231168	759690084543332352	760414845967667200	761139701608833024	761864401070727170	762589173744369664	763313961362128896	764038724212649984	764554906858553344	764763518197436416	765488274458701824	766213063485841408	766625119137632257	766937965008392192	767662613941653504	768387393284169728	769112169866731520	769836946092883968	770561704568713216	771286486666846208	772011258417668096	772736032093667328	773460877496442880	774185590359076865	774910360633610240	775635136478081024	776360002395185152	777084774439645184	777809501726576640	778534238371143680	779259037326114816	779983789841842177	780708564927119360	780840388571586560	781433341723705344	782158116720939008	782882896982016000	783607671480020992	784332450642079744	785057225236766720	785781995620208640	786506778267750400	787231547309129728	787956322255921152	788681133580029952	789405961781809152	790130739379601408	790855427261079553	791580202082136064	792304977716752386	793029806715723776	793754533407125504	794479327874338816	795219179444011008	795943955053613057	796668785382096896	797393509250699264	798118282544955392	798198975291654144	798843059039387648	799567834720387072	800292610715701249	801017396513439744	801742161272307712	802467012781936640	803191713170911232	803916489401176064	804641263949594624	806090819484655617	806815599825420288	807540371093913600	808265200159887360	808989984762003456	809714695057895425	810439469325307904	811164247275216896	811889020464726016	812613796917288960	813338574061977600	814063347968704513	814788164153917440	815512898676133888	816237674851921920	816962453242257408	858445978264887297	885158843449212929	885158855268683776	885158873207894016	885158879469854721	885158884326883330	885159115881947137	885159457264631808	885159489091100676	885159610210033664	885159649787379712	885159661099515905	885159873587159042	885160857818120192	885161088374931458	885161108230684673	885162342912282626	885165742215372800	885167152264880128	885167155704201218	885168258038595589	885169115694059520	885169165581008896	885169420578037761	885170025140801537	885172690088153088	885173910400098306	885174739442040832	885175799002693632	885179476728000513	885180884986540039	885183472297402368	885184614272307202	885187276631818240	885187276384477185	885187548317986817	885192230188834817	885201181412405251	885202270496976896	885203382729711616	885210155905896448	885215566725820418	885219487368269825	885223730997231616	885224094718980096	885229084841623552	885230426071080964	885233782852390913	885234242254393344	885251708078641153	885259308866392064	885262825672892416	885266284471926791	885269539323129856	885280876707184640	885286375574077441	885295899282464768	885296039997186048	885296213586792448	885299594141290496	885299833585766400	885315491715194885	885334972659367936	885339714965975040	885416214045929472	885484482404511745	885495450358251520	885499288079478786	885506587519004674	885589674881933316	885600493149573120	885981225122492419	886032569405509638	886054733575860225	886237011321008128	886316489682427904	886451343094841344	886477697282715648	886633778222956544	887416988938760192	888398484918939648	891842131744231424	892102631816081408	892672427704152065	893147187353354241	903936126716710912	930429315073785856	938514662877884418	952387262918090752	952813081171816449	962408183162601473	967069203692957696	969748058215821312	970760337757585408	1000362026907193344	1004443819255975936	1004457643161870338	1005990092534476801	1008947219897225217	1011151478789169152	1013808291187740674	1015219864481554433	1018880183808417793	1021218560264114177	1022217745981534208	1024181245398241280	1024778784224948224	1036797826645151744	1037849023674105856	1038941942762168320	1042099051754160131	1045551783840493568	1045949270812233728	1050558422574231552	1050574743265513473	1054502931175661568	1060930542470746112	1061251190703472642	1062404981247148032	1065359130611789824	1069670272544923648	1069690910450089984,0,"['320_320_60SS_320.jpg', '320_240_20080620T103408Z-P-TNS-RCON-C513-NVO-CHINABOTTLES_lg.jpg', '320_240_20080619T100041Z-P-TNS-RCON-C410-NVO-CHINAEVACUATION_lg.jpg']"
politifact13068,http://politicaladarchive.org/ad/polad_donaldtrump_k1mkc/,Political TV Ad Archive » PolAd,3316920364	96972843962740736	107435614412083200	240071235386634240	240095405164097536	240096178425978880	240098503995576321	504501071973081088	538380818180505600	565127844565897219	572688161735761920	636886948074889216	1029083260175966208	1032947475848544256	1034051203133579266,0,"['76_52_brand_logo.png', '53_53_mail.png', '1008_239_POLITIFACT_logo_Pulitzer_tagline_rgb.jpg']"
politifact11747,http://data.bls.gov/timeseries/CES0500000001?output_view=net_1mth,Bureau of Labor Statistics Data,11488847340	11488847936	11488851355	11488850977	11488857134	11488862303	11490454072	11490453769	11815114411	17574940953	37913678858829825	37948751247056896	66515840614408192	66620730720256000	189136700147113985	189141801339338753	189236400007286784	189243783769096192	189319034792185858	189632769079525376	190356833632915456	263999828277747712	263999855737831424	264000107475767296	362540631748386817	377864726459727873	395527911760883712	395527933030187008	395527957369716737	395527966609768448	395527980463570944	395527987719716864	395527999316967424	395528013309149184	395528019978113025	395528033039159297	395528599690051584	395528717599916032	395531020843634688	395534687973539840	395539252005437440	395555569328603136	396789270985191424	453600350793379841	474347177620557824	474350947129655296	474351384851382273	474352395078877184	563727091854999552	596064507790766080	601494488834519043	618119692180434945	1001829870203219968	1027936420457984002	1027944706221600769	1037700925215858688	1051722178247516160	1051747273930153984	1059398871271591937	1066703924680306689,0,['57_57_flag-favicon-57.png']
politifact7293,http://www.kff.org/healthreform/upload/8061.pdf,Summary of the Affordable Care Act,,0,['300_122_kff-logo-black.png']
politifact1783,http://abcnews.go.com/ThisWeek/week-transcript-holder-giuliani/story?id=10596448&page=4,'This Week' Transcript: Holder and Giuliani,,0,"['144_144_Rhodes-RT-SG-5_hpMain_20230505-212812_1x1_144.jpg', '144_144_richard-barnett-ap-jt-230524_1684972516978_hpMain_1x1_144.jpg', '144_144_roberts-1-ap-er-230525_1685027736797_hpMain_1x1_144.jpg']"
politifact9691,http://www.nbcnews.com/politics/first-read/impeachment-talk-becomes-cynical-game-n168436,Impeachment Talk Becomes a Cynical Game,494471648498941952	494473906578030592	494474086567792640	494474175432515585	494474635631935488	494474710864777216	494475371278909441	494475642608418816	494476039628673024	494477145607909376	494477185655132161	494477189081878528	494477187634835456	494477555366232064	494478245006303233	494478456361459712	494478471439990784	494478483888685056	494478627669417985	494478636586508291	494478677976317953	494479016204574722	494479025746624512	494479344186585089	494479942713745410	494480095512248320	494480132904464385	494481069274460160	494481806939660289	494482483107217408	494482493320351744	494482587952222208	494482599612809216	494482875463397377	494482905054187520	494484150364024832	494484567839895552	494484992005640193	494485011597258753	494485028944883712	494485046292520960	494486139320164352	494486422389555200	494486505620905987	494488492018114560	494489163958190080	494490474292326400	494491792398888960	494496288483069954	494497030946160640	494497660292714499	494514485957525504	494516517304688641	494619906772844544	517332614966165504,0,['760_428_f_dc_whimpeach_140729.jpg']
politifact13132,http://www.politifact.com/truth-o-meter/statements/2016/mar/15/hillary-clinton/hillary-clinton-says-guns-exceed-next-nine-categor/,Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,709855468429189122	709863316697391104	709882822559965184	709925869368639488	709958216755576833	710075534705868800	710125625558695936	710157406995681281	710167845292908544	710235719416094721	710323762042949633	710505001622220800	710795622627065856	710796078791200773	710841868423176193	711163603676692484	714898378744725504	715012487775584256	718140785745666052	722928950624722944	722933149198495744	729158479923945472	780584733902123008	780584883303297024	780584960503808000	780586180458844161	780586198913789956	780586514698866688	780595620994125824	780908206876942336,0,"['30_27_meter-half-true-th.jpg', '30_27_meter-mostly-true-th.jpg', '30_27_meter-pants-fire-th.jpg']"
