id~title~url~img~similarity
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_-Vaibhavi-Upadhyaya_1884c0fbccb_small.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_Photos-of-Jennie-at-Cannes-go-viral_18848c85824_small.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~360_90_logo-gulfnews2x.png~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_Tom-Hanks-Rita-Wilson-1684927295975_1884d7e3208_small.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~100_35_tabloid_logo_new_resources1_16a085314ff_logo.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_BTS_1816209c690_small.jpg~0.11396057645963795
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~600_472_site-large.png~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~560_372_1_16a08497705.2220090_3094423567_16a08497705_medium.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~106_106_gn_round_logo.png~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_Aditya-Singh-Rajput_188436eadc2_small.jpg~0.07559289460184544
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_725150-01-02--Read-Only-_1884d4432bc_small.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~530_340_image_stamp.png~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_UAE-artist-and-entrepreneur-Raisa-Mariam-Rajan-creates-a-stir-at-the-Contemporary-Art-Cannes-Biennale-_1884dcebe73_small.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_Deepika-Padukone-shines-at-this-Oscars-2023_186d8fe8aa8_small.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_20230524-Nitesh-Pandey_1884c3744ed_small.jpg~0.0
gossipcop-4778714585~Selena Gomez ‘terrified’ of recording new album~gulfnews.com/life-style/celebrity/hollywood/selena-gomez-terrified-of-recording-new-album-1.2220091~330_248_Priyanka-Chopra_1818febba5c_small.jpg~0.0
gossipcop-783444592~Lindsey Vonn can’t score a date~www.news.com.au/sport/sports-life/why-cant-lindsey-vonn-find-herself-a-date/news-story/2a111d372683dc292ecaa454806303d9~300_200_80edd117-6156-4532-9d45-1ad77134d714.png~0.2857142857142857
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~532_400_nav-crossword.png~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~300_300_nav-archive-promo-5541b02ae92f1a9276249e1c6c2534ee.png~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~300_300_YourSubscription_300x300.jpg~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~210_280_current-issue.large.jpg~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~2000_1125_Thumbnail.jpg~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~180_180_nav-crossword-promo-71e9c22fbca07267d82afb8cca81ec00.png~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~72_72_original.jpg~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~900_900_archive-thumbnail.png~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~72_72_original.png~0.0
gossipcop-9247749560~Grading President Trump~www.theatlantic.com/politics/archive/2017/11/grading-president-trump/544985/~960_540_original.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71351935-0-image-a-21_1684925915276.jpg~0.08838834764831843
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71357575-0-image-m-76_1684940838509.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71367337-0-image-m-36_1684949035222.jpg~0.08574929257125441
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71355117-0-image-m-42_1684934677036.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71303749-0-image-a-12_1684831999380.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71353629-0-image-a-25_1684929184009.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~87_84_71367241-0-image-a-16_1684955267468.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~87_84_71366949-0-image-m-20_1684953002505.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71233591-0-image-a-114_1684851171826.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71334963-0-image-a-19_1684888382796.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71319765-0-image-m-14_1684857370525.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71373849-0-image-a-27_1684961133321.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71379573-0-image-m-102_1684970107431.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71331001-0-image-a-92_1684878024850.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~87_84_71373627-0-image-m-43_1684961003210.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~87_84_71367197-0-image-m-10_1684949343053.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~194_40_DailyMail.png~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71366381-0-image-a-4_1684947538203.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~634_524_46B3A28700000578-5123119-image-m-10_1511828029666.jpg~0.0
gossipcop-7175212322~Ben Affleck introduces Lindsay Shookus to Jennifer Garner~www.dailymail.co.uk/tvshowbiz/article-5123119/Ben-Affleck-introduces-Lindsay-Shookus-Jennifer-Garner.html~154_115_71331863-0-image-a-26_1684880655336.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-d8d8287759382d3d677f75f16f686bb7.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-052b1eae3c5c56baf4b3276580794265.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~1250_625_1250-46738e7d6e48582b7d15884226956793.jpg~0.08770580193070293
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-3e27974e08e86f75c31107e3296ce171.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-613304d6d5d1c95be33532b2d7f6ab23.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-20811dc5aa5b2bf8c426693ae1a81fbc.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~1250_625_1250-b1de39821026ee356d83ff82a4294274.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~1250_625_1250-2b7cce9d62553a2791f08c530a64f7a9.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~177_89_178-18dfa11245071a3ff259e5e981f7e1e7.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-822404772fa47ce3714238945cdde756.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~1250_625_1250-9a30bfe4e56db213c5f231c1ff7d9e10.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~1250_625_1250-bcaed212fd0f0d3145a338aad34fcf85.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~1250_625_1250-08c47f1c40afd3020a2e31ea8c93c738.jpg~0.10482848367219183
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~1250_625_1250-c6e48f98fa69f209fce538d2ea97167b.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-1a32a6f049fbfa2f835807e47a3d1ca0.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-8ee6e2ce27753d2544809c850027ba75.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~177_89_178-c4b75ba0867e37cbd44906c2d41b1e34.jpg~0.11322770341445959
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~600_200_TFCA%20-%20Sidebar%20Left.png~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-b43748f20d61c9399878d44e39d275c0.jpg~0.0
gossipcop-2932564057~VIDEO: Fifth Harmony Perform, Play 'Flinch' on LATE LATE SHOW Video~www.broadwayworld.com/videoplay/VIDEO-Fifth-Harmony-Perform-Play-Flinch-on-LATE-LATE-SHOW-20170913~300_300_200200-3dbc51f74c326025204b9df7ecbabf93.jpg~0.08006407690254358
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~400_200_menu-home.jpg~0.0
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~281_127_babe-logo-x3-white.png~0.0
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~112_115_facebook.png~0.0
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~115_115_instagram.png~0.0
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~400_200_menu-looks.jpg~0.1556997888323046
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~400_200_menu-IRL.jpg~0.1556997888323046
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~120_120_copy.png~0.0
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~400_200_menu-news.jpg~0.1987615979999813
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~400_200_menu-fads.jpg~0.0
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~400_200_menu-lust.jpg~0.11547005383792514
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~124_97_twitter.png~0.08606629658238703
gossipcop-5844292844~Rihanna wants to get together with Chris Brown and I’m irrationally upset about it~babe.net/2018/03/01/rihanna-wants-to-get-together-with-chris-brown-38881~400_200_menu-pop.jpg~0.0816496580927726
gossipcop-873033733~Kelly Osbourne on addiction: 'People need to know rehab doesn't fix you' Video~abcnews.go.com/GMA/Culture/video/kelly-osbourne-addiction-people-rehab-fix-56835399~992_558_180726_gma_kelly2_hpMain_16x9_992.jpg~0.0
gossipcop-2971458461~Kim Kardashian and Donald Trump talked about prison reform, because 2018 is off the rails~mashable.com/2018/05/30/kim-kardashian-meeting-donald-trump-prison-reform/~220_133_hero-image.fill.size_220x133.v1684900774.jpg~0.0
gossipcop-2971458461~Kim Kardashian and Donald Trump talked about prison reform, because 2018 is off the rails~mashable.com/2018/05/30/kim-kardashian-meeting-donald-trump-prison-reform/~220_133_hero-image.fill.size_220x133.v1684874993.jpg~0.0
gossipcop-2971458461~Kim Kardashian and Donald Trump talked about prison reform, because 2018 is off the rails~mashable.com/2018/05/30/kim-kardashian-meeting-donald-trump-prison-reform/~220_133_hero-image.fill.size_220x133.v1679841696.jpg~0.1951800145897066
gossipcop-2971458461~Kim Kardashian and Donald Trump talked about prison reform, because 2018 is off the rails~mashable.com/2018/05/30/kim-kardashian-meeting-donald-trump-prison-reform/~220_220_hero-image.fill.size_220x220.v1684879533.jpg~0.0
gossipcop-2971458461~Kim Kardashian and Donald Trump talked about prison reform, because 2018 is off the rails~mashable.com/2018/05/30/kim-kardashian-meeting-donald-trump-prison-reform/~220_220_hero-image.fill.size_220x220.v1681744945.jpg~0.05773502691896257
gossipcop-2971458461~Kim Kardashian and Donald Trump talked about prison reform, because 2018 is off the rails~mashable.com/2018/05/30/kim-kardashian-meeting-donald-trump-prison-reform/~220_133_hero-image.fill.size_220x133.v1684250792.png~0.06262242910851494
gossipcop-2971458461~Kim Kardashian and Donald Trump talked about prison reform, because 2018 is off the rails~mashable.com/2018/05/30/kim-kardashian-meeting-donald-trump-prison-reform/~220_220_hero-image.fill.size_220x220.v1684894191.jpg~0.0
gossipcop-2971458461~Kim Kardashian and Donald Trump talked about prison reform, because 2018 is off the rails~mashable.com/2018/05/30/kim-kardashian-meeting-donald-trump-prison-reform/~220_220_hero-image.fill.size_220x220.v1679841696.jpg~0.1951800145897066
